customer_id,age,purchases_last_year,website_visits_last_month,loyalty_score,avg_order_value_eur,days_since_last_purchase,email_sent,purchased,true_hidden_segment,predicted_if_treated,predicted_if_not_treated,uplift
229,59,2,15,5,192.93,12,0,1,Persuadable,0.8414106780139406,0.4908456206617928,0.3505650573521478
612,73,1,13,6,171.6,74,1,0,Mixed/Unknown,0.859249707815029,0.5146364118534045,0.3446132959616245
470,67,0,11,7,10.33,16,0,0,Mixed/Unknown,0.7630631395628733,0.4226626099686857,0.3404005295941876
311,74,1,12,3,56.29,80,0,0,Mixed/Unknown,0.7048206374629742,0.3657403320462094,0.33908030541676476
71,52,1,13,5,51.93,92,0,1,Mixed/Unknown,0.6765241846912777,0.35164336662257856,0.3248808180686992
429,52,2,15,8,177.13,44,0,1,Persuadable,0.8959509085273364,0.5853898696103745,0.31056103891696185
435,50,2,13,5,50.37,8,1,0,Persuadable,0.706165911693123,0.3960731641994074,0.3100927474937156
338,65,1,12,3,92.6,156,0,1,Mixed/Unknown,0.6270154540886242,0.3186344640460094,0.3083809900426148
38,45,3,15,7,26.97,191,1,1,Persuadable,0.8634981864025587,0.5589747340536461,0.30452345234891265
394,68,4,13,2,34.86,22,0,0,Mixed/Unknown,0.7782388885342921,0.4814391976781371,0.29679969085615504
642,61,4,14,4,84.79,19,0,0,Persuadable,0.8465498196470623,0.5532061212341217,0.2933436984129406
105,70,1,11,9,33.61,25,0,1,Mixed/Unknown,0.8816656983775008,0.5884424441372792,0.29322325424022155
349,66,4,13,1,41.1,4,1,1,Mixed/Unknown,0.7160695813226703,0.4249845421714328,0.2910850391512375
370,50,3,13,7,93.25,98,0,0,Persuadable,0.8318242746590666,0.5443057064125049,0.28751856824656175
249,66,0,8,10,41.23,7,0,1,Mixed/Unknown,0.77316282330141,0.4864579862676635,0.28670483703374644
216,74,1,11,9,71.42,75,0,1,Mixed/Unknown,0.8969944101830958,0.6107937735903627,0.2862006365927331
755,64,2,11,4,120.12,25,0,0,Persuadable,0.6746555256984254,0.38861096874921575,0.2860445569492096
221,56,3,12,5,75.88,47,0,1,Persuadable,0.7516178865699031,0.46667405385399335,0.2849438327159098
313,67,2,11,3,120.28,44,0,1,Mixed/Unknown,0.6442576283986192,0.3624325340962436,0.2818250943023756
727,70,3,12,6,29.11,79,1,1,Persuadable,0.8705179015753454,0.5924069204664358,0.2781109811089095
398,44,2,12,6,57.46,13,0,1,Persuadable,0.6625737503153419,0.38511734079088467,0.27745640952445727
369,53,2,11,9,20.49,141,0,1,Persuadable,0.8266994354274448,0.5494132661870327,0.27728616924041216
26,55,3,12,7,34.82,37,0,1,Persuadable,0.8282208461967656,0.5513760675238814,0.27684477867288426
260,50,1,13,3,104.8,17,1,0,Mixed/Unknown,0.5386870348792419,0.26475535475175344,0.2739316801274884
344,73,2,16,7,140.33,21,0,1,Persuadable,0.9497863159370771,0.677032574889743,0.2727537410473341
614,62,4,12,3,111.18,9,0,1,Mixed/Unknown,0.7414239565046752,0.46995956995218446,0.2714643865524907
133,75,2,9,7,89.17,92,0,0,Mixed/Unknown,0.8137297263644998,0.5428278997635314,0.2709018266009684
536,36,5,15,3,149.29,13,0,1,Mixed/Unknown,0.7146492490928975,0.44386599056699766,0.27078325852589985
293,53,1,9,10,26.02,33,0,1,Mixed/Unknown,0.7607579134503681,0.4918919758312382,0.2688659376191299
96,31,3,13,7,70.95,17,1,0,Persuadable,0.7021941293490825,0.43422586353650844,0.2679682658125741
800,56,3,11,6,103.45,76,1,1,Persuadable,0.7575254450083435,0.49003849199902866,0.26748695300931485
