keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,Here are the links to everything I used on this piece! Supply List: https://amzlink.to/az0HZcv3xvdaC,9053839,868492,8362,9.87,False
upcycle furniture UK,bswESFJ6Xs8,This feels illegal… 🫣🫣 #furnituremakeover #furniturerestoration #paintedfurniture,Grace Holbrook | DIY + FLIPS,2025-07-28,Some pieces deserve more than paint… I had paid $20 for this writing desk from a guy clearing out an,3102609,265355,5083,9.33,False
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,,8188085,447134,1181,7.29,False
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,Copy & paste for list of supplies used https://amzlink.to/az0HIiPXBHRnG My Roman Empire or my first ,3714493,190084,2973,7.17,False
DIY home UK,Tkix9jToirk,DIY metallic epoxy floors #diyhome #diyideas,Prairie Style Home,2024-04-18,"I used the Armortallic Epoxy kit from @armorpoxy, in the color 'Overcast'. Use code 'janelle1260' fo",11699183,500972,3241,6.6,False
DIY home UK,jCbtvGqT4N4,Amazing house #construction #diy,Dad builds a house,2024-07-31,,8853334,347589,3912,6.41,False
home engraving DIY,t4klesoNObo,Making a block of perfectly clear ice,NileRed,2025-04-23,"Regular ice is usually filled with bubbles, and I think it's really ugly. What I want is some beauti",103915802,4106860,14586,6.39,False
dremel projects,glEW8K9kn64,How to Use Every Dremel Bit,Log's Carving Club,2024-04-11,What are the different Dremel bits and burrs for? How do you use different Dremel bits? Hopefully in,1779992,61881,2469,6.25,False
upcycle furniture UK,TF_ysN_7FNU,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-07,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,5636500,200480,3173,6.2,False
DIY home UK,DlLMuhxXCpQ,DIY laundry room. First time cabinet build! #diy #renovation #husbandwifecomedy,Courtney Leigh,2025-01-23,I'm just a girl supervising and he's giving me literal heart attacks daily . Laundry room DIY renova,6662960,230207,4931,6.16,False
dremel projects,thcFqmnqGEU,"I don&#39;t know what this is, but it looks kinda cool. #woodworking #carpentry #scrapwood #diy #tools",Josh Wright,2024-05-27,WARNING: I AM NOT A TEACHER OR A PROFESSIONAL. LEARN FOR YOURSELF ABOUT PROPER SAFETY TECHNIQUES ...,8124339,225288,2551,5.7,False
cordless DIY tools UK,oT7cp7GeM8Y,Corded Tools are Obsolete!,VCG Construction,2024-11-22,Corded Tools are Obsolete! : #milwaukeetools #CordlessTools #drill #diy #howto Join this channel to ,6076343,168045,1803,5.69,False
upcycle furniture UK,lPssjH6yivk,Nobody Wanted this Hutch 😢 I had an idea...,Christina Muscari,2024-04-13,This video is sponsored by Beyond Paint. Shop Beyond Paint on AMAZON - https://amzlink.to/az0o0VcZLH,2394107,57563,4497,5.67,False
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012454,213171,3051,5.64,False
upcycle furniture UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012454,213171,3051,5.64,False
rotary tool DIY,RBIMFs8LA4o,"Sharp Blades and Smooth Cuts! The EASIEST Way To Sharpen Your Chainsaw Chain Perfectly, Every Time!",Chickanic,2024-01-18,Tired of hand filing your chainsaw chain to end up cutting crooked or not at all? Stop paying repair,3082377,78756,2328,5.62,False
home engraving DIY,Ws9V7KuKpuE,DIY soap bar🧼🤍 #asmr #soapmaking #DIY #DIYsoap #organized #satisfying #organizedhome #giftidea,Yeva Berez,2025-06-04,,24651868,582179,2105,5.43,False
